"Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB"
"1,C,Buster Posey,29,146,614,539,82,155,33,2,14,80,6,1,64,68,.288,.362,.434,.796,112,234,18,3,0,8,7"
"2,1B,Brandon Belt*,28,156,655,542,77,149,41,8,17,82,0,4,104,148,.275,.394,.474,.868,132,257,7,5,0,4,4"
"3,2B,Joe Panik*,25,127,526,464,67,111,21,7,10,62,5,0,50,47,.239,.315,.379,.695,85,176,14,4,3,5,5"
"4,SS,Brandon Crawford*,29,155,623,553,67,152,28,11,12,84,7,0,57,115,.275,.342,.430,.772,106,238,13,4,0,9,10"
"5,3B,Matt Duffy,25,70,286,257,32,65,11,2,4,21,8,4,20,40,.253,.313,.358,.671,80,92,9,4,2,3,0"
"6,LF,Angel Pagan#,34,129,543,495,71,137,24,5,12,55,15,4,42,66,.277,.331,.418,.750,100,207,11,0,0,3,1"
"7,CF,Denard Span*,32,143,637,572,70,152,23,5,11,53,12,7,53,79,.266,.331,.381,.712,91,218,8,4,6,2,2"
"8,RF,Hunter Pence,33,106,442,395,58,114,23,1,13,57,1,1,43,95,.289,.357,.451,.808,115,178,10,1,0,3,1"
"9,OF,Gregor Blanco*,32,106,274,241,28,54,10,4,1,18,6,3,29,51,.224,.309,.311,.620,67,75,5,1,1,1,4"
"10,3B,Conor Gillaspie*,28,101,205,191,24,50,8,4,6,25,1,2,12,28,.262,.307,.440,.747,97,84,3,1,0,1,3"
"11,3B,Eduardo Nunez,29,50,199,182,24,49,9,3,4,20,13,4,14,30,.269,.327,.418,.744,98,76,2,2,0,1,3"
"12,C,Trevor Brown,24,75,184,173,17,41,7,0,5,19,0,1,10,39,.237,.283,.364,.647,72,63,2,1,0,0,0"
"13,OF,Jarrett Parker*,27,63,151,127,22,30,3,1,5,14,0,1,19,44,.236,.358,.394,.751,102,50,3,5,0,0,1"
"14,OF,Mac Williamson,25,54,127,112,14,25,3,0,6,15,0,1,13,35,.223,.315,.411,.726,93,46,4,2,0,0,0"
"15,2B,Kelby Tomlinson,26,52,120,106,13,31,4,0,0,6,5,1,12,18,.292,.370,.330,.700,90,35,1,1,1,0,1"
"16,IF,Ramiro Pena#,30,30,91,87,9,26,6,1,1,10,0,0,2,16,.299,.330,.425,.755,101,37,0,2,0,0,1"
"17,IF,Ehire Adrianza#,26,40,71,63,3,16,2,0,2,7,0,1,2,13,.254,.299,.381,.679,81,24,0,2,4,0,0"
"18,OF,Gorkys Hernandez,28,26,57,54,7,14,5,0,2,4,0,1,3,11,.259,.298,.463,.761,100,25,0,0,0,0,0"
"19,2B,Grant Green,28,18,50,46,7,12,2,0,1,7,0,0,3,8,.261,.300,.370,.670,78,17,3,0,0,1,0"
"20,3B,Ruben Tejada,26,13,38,32,3,5,3,0,0,2,0,0,5,5,.156,.270,.250,.520,41,8,0,0,1,0,0"
"21,3B,Gordon Beckham,29,3,6,5,0,0,0,0,0,1,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,1,0"
"22,P,Madison Bumgarner,26,36,97,86,8,16,6,0,3,9,0,0,10,43,.186,.268,.360,.629,67,31,1,0,0,1,0"
"23,P,Johnny Cueto,30,32,84,70,1,8,0,0,0,5,0,0,2,24,.114,.137,.114,.251,-31,8,2,0,11,1,0"
"24,P,Jeff Samardzija,31,34,69,64,4,10,5,0,0,9,0,0,1,28,.156,.164,.234,.399,5,15,3,0,2,2,0"
